Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1949, 1949, 36,     1,   ACY,       1,0.14957,3.52609,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 37,     1,   ACY,       1,0.13341,3.67566,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 38,     1,   ACY,       1,0.11707,3.80907,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 39,     1,   ACY,       1,0.09917,3.92614,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 40,     1,   ACY,       1,0.08144,4.02531,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 41,     1,   ACY,       1,0.06270,4.10675,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 42,     1,   ACY,       1,0.04375,4.16945,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 43,     1,   ACY,       1,0.02759,4.21320,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 44,     1,   ACY,       1,0.01582,4.24079,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 45,     1,   ACY,       1,0.00819,4.25661,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 46,     1,   ACY,       1,0.00386,4.26480,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 47,     1,   ACY,       1,0.00207,4.26866,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 48,     1,   ACY,       1,0.00128,4.27073,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 49,     1,   ACY,       1,0.00049,4.27201,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1949, 1949, 50,    99,   ACY,       1,0.00020,4.27250,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1950, 1950, 14,   -99,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1950, 1950, 15,     1,   ACY,       1,0.00023,0.00002,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1950, 1950, 16,     1,   ACY,       1,0.00169,0.00025,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 17,     1,   ACY,       1,0.00631,0.00194,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 18,     1,   ACY,       1,0.01804,0.00825,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 19,     1,   ACY,       1,0.04127,0.02629,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 20,     1,   ACY,       1,0.07879,0.06756,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 21,     1,   ACY,       1,0.12288,0.14635,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 22,     1,   ACY,       1,0.16773,0.26923,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 23,     1,   ACY,       1,0.20531,0.43696,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 24,     1,   ACY,       1,0.22930,0.64227,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 25,     1,   ACY,       1,0.23911,0.87157,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 26,     1,   ACY,       1,0.24059,1.11068,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 27,     1,   ACY,       1,0.23750,1.35127,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 28,     1,   ACY,       1,0.23050,1.58877,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 29,     1,   ACY,       1,0.21963,1.81927,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 30,     1,   ACY,       1,0.19974,2.03890,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 31,     1,   ACY,       1,0.18428,2.23864,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 32,     1,   ACY,       1,0.17341,2.42292,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 33,     1,   ACY,       1,0.16385,2.59633,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 34,     1,   ACY,       1,0.14637,2.76018,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 35,     1,   ACY,       1,0.13208,2.90655,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 36,     1,   ACY,       1,0.11729,3.03863,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 37,     1,   ACY,       1,0.10356,3.15592,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 38,     1,   ACY,       1,0.08949,3.25948,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 39,     1,   ACY,       1,0.07557,3.34897,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 40,     1,   ACY,       1,0.06087,3.42454,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 41,     1,   ACY,       1,0.04636,3.48541,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 42,     1,   ACY,       1,0.03224,3.53177,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 43,     1,   ACY,       1,0.02005,3.56401,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 44,     1,   ACY,       1,0.01110,3.58406,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 45,     1,   ACY,       1,0.00559,3.59516,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 46,     1,   ACY,       1,0.00259,3.60075,       ODE,  estimate,    JPN_01,   .,    0
